id;created;link;functie
1;2013-07-03 00:01:04;/id/vg09llmkzbzm/j_jan_achterstraat;"medewerker secretariaat Sociologisch Bureau ""De Meerlanden"" te Hoofddorp, van 1957 tot 1968"
2;2013-07-03 00:01:04;/id/vg09llmkzbzm/j_jan_achterstraat;"directeur Sociologisch Bureau ""De Meerlanden"" te Hoofddorp, van 1968 tot september 1978"
3;2013-07-03 00:01:04;/id/vg09llmkzbzm/j_jan_achterstraat;"lid Provinciale Staten van Noord-Holland, van 7 juli 1970 tot 28 april 1997"
4;2013-07-03 00:01:04;/id/vg09llmkzbzm/j_jan_achterstraat;"lid Gedeputeerde Staten (belast met volkshuisvesting, natuur en recreatie, economische zaken en provinciale bedrijven) van Noord-Holland, van september 1978 tot september 1980"
5;2013-07-03 00:01:04;/id/vg09llmkzbzm/j_jan_achterstraat;"lid Eerste Kamer der Staten-Generaal, van 16 september 1980 tot 1 april 1983"
6;2013-07-03 00:01:04;/id/vg09llmkzbzm/j_jan_achterstraat;"lid Gedeputeerde Staten (belast met verkeer, waterstaat, ruilverkaveling en land- en tuinbouw) van Noord-Holland, van april 1987 tot 22 januari 1996"
7;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"tewerkgesteld te Oberhausen (opgepakt tijdens razzia), tot 1944"
8;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"tijdelijk tolk bij het geallieerde leger in Duitsland, van maart 1945 tot mei 1945"
9;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"ambtenaar afdeling omzetbelasting, Belastingdienst te Rotterdam, 1945 (1 maand)"
10;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"medewerker afdeling deblokkering van tegoeden, Bijkantoor ""De Nederlandsche Bank"", van 1945 tot november 1945"
11;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"parttime medewerker NEI (Nederlands Economisch Instituut), van april 1948 tot 1951"
12;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"economisch adviseur NCB (Nederlandse Christelijke Bond van Werknemers in Hout en Bouw), van 1 september 1951 tot 1 januari 1960"
13;2013-07-03 00:01:07;/id/vg09lkxbdsz4/w_wil_albeda;"medewerker afdeling sociale zaken, N.V. Philips' Gloeilampenfabriek te Eindhoven, van 1 januari 1960 tot 1 november 1961 (onderzoek naar nieuwe vestigingsplaatsen)"
