id,aangemaakt,source,link,voornamen,achternaam,roepnaam,geboortedatum,partij,overleden
3,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llmkzbzm/j_jan_achterstraat,Jan,Achterstraat,Jan,1928-07-13,CDA,0
8,2013-07-02 23:58:31,Eerste Kamer,/id/vg09lkxbdsz4/w_wil_albeda,Willem,Albeda,Wil,1925-06-13,"ARP, CDA",0
16,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09lkxehrzx/f_h_j_j_frans_andriessen,Franciscus Henricus Johannes Joseph,Andriessen,Frans,1929-04-02,CDA,0
27,2013-07-02 23:58:31,Eerste Kamer,/id/vhjogfpwhhz3/e_edward_asscher,Edward,Asscher,Edward,1946-10-07,VVD,0
31,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llos3nys/j_joeke_baarda,Joeke,Baarda,Joeke,1936-08-14,CDA,0
34,2013-07-02 23:58:31,Eerste Kamer,/id/vin3caydd4rc/j_p_joris_backer,Joris Paul,Backer,Joris,1953-07-11,D66,0
39,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09lljrp5z6/m_a_m_marleen_barth,Magdalena Antoinette Maria,Barth,Marleen,1964-03-21,PvdA,0
45,2013-07-02 23:58:31,Eerste Kamer,/id/vimal84ex4y8/h_g_j_m_henk_beckers,Hendricus Gerardus Josephus Maria,Beckers,Henk,1944-05-30,VVD,0
47,2013-07-02 23:58:31,Eerste Kamer,/id/vj36a2vptpv8/m_j_martin_van_beek,NULL,van Beek,NULL,1960-04-01,PVV,0
49,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09lle4qtwc/l_m_pol_de_beer,Leopold Michiel,de Beer,Pol,1934-08-06,VVD,0
52,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llkxaszg/r_h_rob_van_de_beeten,Robertus Hermanus,van de Beeten,Rob,1955-12-26,CDA,0
55,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llkh5xvd/m_l_marie_louise_bemelmans_videc,Marie Louise,Bemelmans-Videc,Marie-Louise,1947-04-09,CDA,0
56,2013-07-02 23:58:31,Eerste Kamer,/id/vhjogfpwhkz5/g_geart_benedictus,Geert,Benedictus,Geart,1952-08-11,CDA,0
59,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llmk0bzk/j_th_j_joop_van_den_berg,Johannes Theodorus Jozef,van den Berg,Joop,1941-04-02,PvdA,0
60,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llq7f8zu/g_gert_van_den_berg,Gerrit,van den Berg,Gert,1935-10-15,SGP,0
64,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llmhvcz9/e_eric_van_den_bergh,Eric,van den Bergh,Eric,1928-11-08,PvdA,0
71,2013-07-02 23:58:31,Eerste Kamer,/id/vimafx1pzuzi/j_jannette_beuving,Jannette,Beuving,Jannette,1965-06-20,PvdA,0
75,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llq9k7zw/m_marten_bierman,Marten,Bierman,Marten,1939-09-05,"fractie-Bierman, OSF",0
76,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llkibxve/m_e_marbeth_bierman_beukema_toe_water,Maragrita Elisabeth,Bierman-Beukema toe Water,Marbeth,1943-03-11,VVD,0
77,2013-07-02 23:58:31,Eerste Kamer,/id/vgghlcz6pkof/g_j_j_ger_biermans,Gerardus Johanna Jozef,Biermans,Ger,1954-03-29,VVD,0
81,2013-07-02 23:58:31,Eerste Kamer,/id/vhjogfpxy3uu/s_ch_sophie_van_bijsterveld,Sophie Christine,van Bijsterveld,Sophie,1960-08-20,CDA,0
84,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09llmdldyu/s_c_suzanne_bischoff_van_heemskerck,Suzanne Caroline,Bischoff van Heemskerck,Suzanne,1950-07-31,D66,0
86,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llq1zazl/j_cobi_de_blecourt_maas,Jacoba,de Bl_court-Maas,Cobi,1944-01-20,VVD,0
94,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llgj9400/t_tom_boekman,Tom,Boekman,Tom,1942-09-29,CPN,0
95,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llpiqfs6/w_th_wim_de_boer,Willem Theo,de Boer,Wim,1938-01-13,GroenLinks,0
96,2013-07-02 23:58:31,Eerste Kamer,/id/vhjogfpxb1zv/r_remmelt_de_boer,Remmelt,de Boer,Remmelt,1942-08-01,ChristenUnie,0
97,2013-07-02 23:58:31,Eerste Kamer,/id/vimof0b4w5mh/m_m_margreet_de_boer,Martha Margretha,de Boer,Margreet,1964-11-21,GroenLinks,0
101,2013-07-02 23:58:31,Eerste Kamer,/id/vg09lkycphz9/o_m_otto_boetes,Otto Meines,Boetes,Otto,1923-08-18,PSP,0
103,2013-07-02 23:58:31,Eerste Kamer,/id/vhi12qcvnlwq/b_britta_bohler,Britta,B÷hler,Britta,1960-07-17,GroenLinks,0
104,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llo2fvwy/f_fenna_bolding,Femmigje,Bolding,Fenna,1958-09-18,"CPN, GroenLinks",0
107,2013-07-02 23:58:31,Eerste Kamer,/id/vg09llou8nyw/p_b_peter_boorsma,Peter Bauke,Boorsma,Peter,1944-07-15,CDA,0
114,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09llopyoyo/b_r_a_bob_van_den_bos,Bob Roland Aaro,van den Bos,Bob,1947-12-19,D66,0
115,2013-07-02 23:58:31,Eerste Kamer,/id/vg09lloqxoyr/b_f_beatrice_bos_beernink,Beatrice Frieda,Bos-Beernink,Beatrice,1931-08-11,CDA,0
124,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09lllviixo/r_h_l_m_roger_van_boxtel,Roger Henri Ludovic Maria,van Boxtel,Roger,1954-02-08,D66,0
126,2013-07-02 23:58:31,Eerste en Tweede Kamer,/id/vg09llhykoyz/g_j_m_gerrit_braks,Gerardus Johannes Maria,Braks,Gerrit,1933-05-23,CDA,0
